ID;Begriff
430;Artikel 12a des Grundgesetzes für die Bundesrepublik Deutschland
431;Artikel 13 des Grundgesetzes für die Bundesrepublik Deutschland
432;Artikel 16 des Grundgesetzes für die Bundesrepublik Deutschland
433;Artikel 17a des Grundgesetzes für die Bundesrepublik Deutschland
434;Artikel 19 des Grundgesetzes für die Bundesrepublik Deutschland
435;Artikel 2 des Grundgesetzes für die Bundesrepublik Deutschland
436;Artikel 20 des Grundgesetzes für die Bundesrepublik Deutschland
437;Artikel 3 des Grundgesetzes für die Bundesrepublik Deutschland
438;Artikel 33 des Grundgesetzes für die Bundesrepublik Deutschland
439;Artikel 38 des Grundgesetzes für die Bundesrepublik Deutschland
440;Artikel 4 des Grundgesetzes für die Bundesrepublik Deutschland
441;Artikel 5 des Grundgesetzes für die Bundesrepublik Deutschland
442;Artikel 6 des Grundgesetzes für die Bundesrepublik Deutschland
443;Artikel 7 des Grundgesetzes für die Bundesrepublik Deutschland
444;Artikel 8 des Grundgesetzes für die Bundesrepublik Deutschland
445;Artikel 9 des Grundgesetzes für die Bundesrepublik Deutschland
446;Arzneimittel-Richtlinie
447;Arzneimittelbudget-Ablösungsgesetz
448;Arzneimittelmarktneuordnungsgesetz
449;Arzneiverordnungs-Report
450;Arzthaftung
451;Arztminute
452;Arztwerberecht
453;Asperationsprinzip
454;Assassinen
455;Asservat
456;Assisen
457;Assistenz
458;Association of European Administrative Judges
459;Assoziierungsabkommen
460;Asylbewerber
461;Asylbewerberleistungsgesetz
462;Asylkompromiss
463;Asylrecht
464;Asylstadt
465;Asylverfahrensbeschleunigungsgesetz
466;Atmung
467;Atomwaffenfreie Zone
468;Attachéausbildung
469;Attentat in der Tree-of-Life-Synagoge in Pittsburgh 2018
470;Attentatsmarkt
471;Audiatur et altera pars
472;Aufbauten
473;Aufbewahrungsfrist
474;Aufbewahrungspflicht
475;Aufdringliches Betteln
476;Aufenthaltserlaubnis
477;Aufenthaltserlaubnis-CH
478;Aufenthaltsermittlung
479;Aufenthaltsgesetz
480;Aufenthaltsgestattung
481;Aufenthaltskarte
482;Aufenthaltsraum
483;Aufenthaltsstatus
484;Aufenthaltstitel
485;Aufenthaltsverordnung
486;Auffanggesellschaft
487;Auffanggrundrecht
488;Auffangtatbestand
489;Auffangversicherungspflicht
490;Aufforderung zur Abgabe eines Angebots
491;Aufgabenmonismus
492;Aufhebung
493;Aufklärungsquote
494;Auflage
495;Auflassung
496;Auflösung
497;Auflösung des Arbeitsverhältnisses
498;Aufnahmegesetz
499;Aufopferungsanspruch
500;Aufrechnung
501;Aufschiebende Wirkung
502;Aufschwungexzess
503;Aufsichtsbehörde
504;Aufsichtspflichtverletzung
505;Auftrag
506;Auftraggeber
507;Auftragnehmer
508;Auftragsbestätigung
509;Auftragsverwaltung
510;Aufwandsentschädigung
511;Aufwendung
512;Aufwendungsausgleichsgesetz
513;Aufwendungsersatz
514;Augenbalken
515;Aurum coronarium
516;Ausantwortung
517;Ausbauverhältnis
518;Ausbietungsgarantie
519;Ausbilder
520;Ausbildungsgeld
521;Ausbleiben
522;Ausbürgerung
523;Auseinandersetzung
524;Ausfallbürgschaft
525;Ausfertigung
526;Ausforschungsbeweis
527;Ausfuhrgenehmigung
528;Ausgangssperre
529;Ausgleichende Gerechtigkeit
530;Ausgleichsanspruch des Handelsvertreters
531;Ausgleichsanspruch des Versicherungsvertreters
532;Ausgleichsklausel
533;Ausgleichsunterhalt
534;Auskultator
535;Auskunftspflicht
536;Auskunftsverweigerungsrecht
537;Auslage
538;Auslagenvorschuss
539;Ausland
540;Auslandsunterhaltsgesetz
541;Auslandsverwendungszuschlagsverordnung
542;Auslandszuständigkeitsverordnung
543;Auslegung
544;Auslieferung
545;Auslieferungsabkommen
546;Auslobung
547;Ausländer
548;Ausländerbehörde
549;Ausländergesetz
550;Ausländerrecht
551;Ausländerstimm- und -wahlrecht
552;Ausländerwahlrecht I und II
553;Ausländerzentralregister
554;Ausländische Haushaltshilfe
555;Ausnahmegericht
556;Ausreiseeinrichtung
557;Ausreisepflicht
558;Ausschließliche Gesetzgebung
559;Ausschließliches Recht
560;Ausschließlichkeitsbindung
561;Ausschlussfrist
562;Ausschlussklausel
563;Ausschreiben vom 4. Juli 1771
564;Ausschuss für Beamtenrecht
565;Ausschuss für Fischerei
566;Ausschuss für Gefahrstoffe
567;Ausschuss für Rechtsphilosophie
568;Ausschuss für Wahlprüfung, Immunität und Geschäftsordnung
569;Aussonderungsrecht
570;Ausstattung
571;Aussteller
572;Ausstellungsrecht
573;Ausstrahlung
574;Austausch von Kriegsgefangenen
575;Austauschpfändung
576;Ausweisung
577;Auswirkungsprinzip
578;Automatisierte Rechtsdienstleistung
579;Autonomie
580;Autoversicherung
581;Außenwirkung
582;Außenwirkungsfinalität
583;Außerordentliche Afrikanische Kammern
584;BMF-Schreiben
585;Bacchanalienskandal
586;Back-to-back-Finanzierung
587;Bad
588;Bad Bank
589;Baden-Württemberg
590;Bagatelldelikt
591;Bagatellgrenze
592;Bahai-Beschluss
593;Bahnsteighöhe
594;Ballungsraumgesetz
595;Baltikum
596;Bande
597;Bankarbeitstag
598;Bankrecht
599;Bankrott
600;Bankrotterklärung
601;Banleuca
602;Bannbruch
603;Banngut
604;Barbatius Philippus
605;Barcelona Traction
606;Bargeschäft
607;Basistarif
608;Basiszinssatz
609;Battery
610;Bauabnahme
611;Bauantrag
612;Bauanzeige
613;Bauarbeitsrecht
614;Bauart
615;Bauaufsicht
616;Bauaufsichtsbehörde
617;Bauerwartungsland
618;Baufreigabe
619;Baugenehmigung
620;Baugesetzbuch
621;Baugestaltungsrecht
622;Bauhandwerker-Sicherungshypothek
623;Bauhof
624;Bauland
625;Baulandsteuer
626;Baulast
627;Baulastenverzeichnis
628;Bauliche Anlage
629;Baumbachsche Formel
630;Bauministerkonferenz
631;Bauordnung für Berlin
632;Bauordnungsmaßnahme
633;Bauordnungsrecht
634;Bauregelliste
635;Bauverbot
636;Bauvorbescheid
637;Bauvorlageberechtigung
638;Bauvorschrift
639;Bauwerk
640;Bayerische Bauordnung
641;Bayerischer Verfassungsgerichtshof
642;Bayerisches Infektionsschutzgesetz
643;Bayerisches Katastrophenschutzgesetz
644;Bayerisches Kinderbildungs- und -betreuungsgesetz
645;Bayerisches Landesamt für Asyl und Rückführungen
646;Bayerisches Oberstes Landesgericht
647;Beamte bei den Postnachfolgeunternehmen
648;Beamtenaltersteilzeitverordnung
649;Beamtenrecht
650;Beamtenrechtsrahmengesetz
651;Beamtenstatusgesetz
652;Beamtenversorgungsgesetz
653;Beamter
654;Bearbeitung
655;Beauftragter Richter
656;Beck-Rechtsprechung
657;Bedarfsgemeinschaft
658;Bedarfsverwaltung
659;Bedemund
660;Bedingung
661;Bedürftigkeit
662;Beendigung
663;Befreiter Vormund
664;Befreiungsanspruch
665;Befristeter Zuschlag nach Bezug von Arbeitslosengeld
666;Beförderung
667;Beförderungserschleichung
668;Beförderungsvertrag
669;Beglaubigung
670;Begleitende Hilfe im Arbeitsleben
671;Begnadigung
672;Begriffsjurisprudenz
673;Begünstigung
674;Behaltensgrund
675;Behandlungsvertrag
676;Behauptung ins Blaue hinein
677;Beherbergungsvertrag
678;Beherrschungsvertrag
679;Behindertengleichstellungsgesetz
680;Behindertentestament
681;Behörde
682;Behördenleiter
683;Beichtgeheimnis
684;Beigeordneter
685;Beihilfe
686;Beihilfeberater
687;Beiordnung
688;Beiratshaftung
689;Beispruchsrecht
690;Beistandschaft für Minderjährige
691;Beistandschaftsgesetz
